english,vietnamese,ipa,part_of_speech,example,example_translation,notes,difficulty,tags
account,tài khoản,/əˈkaʊnt/,Noun,Create an account to sign in.,Tạo tài khoản để đăng nhập.,General,1,internet
username,tên người dùng,/ˈjuːzəneɪm/,Noun,Choose a unique username.,Hãy chọn một tên người dùng độc đáo.,General,1,internet
password,mật khẩu,/ˈpɑːswɜːd/,Noun,Keep your password secure.,Hãy giữ mật khẩu an toàn.,Security,1,internet
profile,hồ sơ cá nhân,/ˈprəʊfaɪl/,Noun,Update your profile picture.,Hãy cập nhật ảnh đại diện của bạn.,Social media,1,internet
follower,người theo dõi,/ˈfɒləʊə(r)/,Noun,She has thousands of followers.,Cô ấy có hàng nghìn người theo dõi.,Social media,1,internet
hashtag,thẻ hashtag,/ˈhæʃtæɡ/,Noun,Use a hashtag to reach more people.,Sử dụng hashtag để tiếp cận nhiều người hơn.,Social media,2,internet
post,bài đăng,/pəʊst/,Noun,His latest post went viral.,Bài đăng mới nhất của anh ấy đã lan truyền mạnh.,Social media,1,internet
comment,bình luận,/ˈkɒment/,Noun,Please leave a comment below.,Hãy để lại bình luận bên dưới.,Social media,1,internet
share,chia sẻ,/ʃeə(r)/,Verb,People shared the news quickly.,Mọi người đã chia sẻ tin tức rất nhanh.,Social media,1,internet
upload,tải lên,/ˌʌpˈləʊd/,Verb,Upload your assignment before Friday.,Hãy tải bài tập lên trước thứ Sáu.,General,1,internet
download,tải xuống,/ˌdaʊnˈləʊd/,Verb,Download the file from the website.,Tải tệp từ trang web xuống.,General,1,internet
stream,phát trực tuyến,/striːm/,Verb,Many people stream music online.,Nhiều người nghe nhạc trực tuyến.,Media,2,internet
privacy,quyền riêng tư,/ˈprɪvəsi/,Noun,Protect your online privacy.,Hãy bảo vệ quyền riêng tư trực tuyến của bạn.,Security,2,internet
cyberbullying,bắt nạt trên mạng,/ˈsaɪbəbʊliɪŋ/,Noun,Cyberbullying can harm young people.,Bắt nạt trên mạng có thể gây hại cho giới trẻ.,Safety,3,internet
algorithm,thuật toán,/ˈælɡərɪðəm/,Noun,The algorithm recommends videos.,Thuật toán đề xuất các video.,Technology,3,internet
notification,thông báo,/ˌnəʊtɪfɪˈkeɪʃən/,Noun,Turn off unnecessary notifications.,Hãy tắt những thông báo không cần thiết.,Apps,2,internet
viral,lan truyền mạnh,/ˈvaɪrəl/,Adjective,The video became viral overnight.,Video đã lan truyền mạnh chỉ sau một đêm.,Social media,2,internet
influencer,người có ảnh hưởng,/ˈɪnfluənsə(r)/,Noun,Many influencers promote products.,Nhiều người có ảnh hưởng quảng bá sản phẩm.,Social media,2,internet
subscribe,đăng ký,/səbˈskraɪb/,Verb,Subscribe to the channel for updates.,Hãy đăng ký kênh để nhận cập nhật.,Media,1,internet
browser,trình duyệt,/ˈbraʊzə(r)/,Noun,Open the website in your browser.,Hãy mở trang web trong trình duyệt của bạn.,Technology,1,internet
