english,vietnamese,ipa,part_of_speech,example,example_translation,notes,difficulty,tags
confident,tự tin,/ˈkɒnfɪdənt/,Adjective,She felt confident before the interview.,Cô ấy cảm thấy tự tin trước buổi phỏng vấn.,Personality,2,b1 adjectives
curious,tò mò,/ˈkjʊəriəs/,Adjective,Curious students ask many questions.,Những học sinh tò mò đặt nhiều câu hỏi.,Personality,2,b1 adjectives
generous,hào phóng,/ˈdʒenərəs/,Adjective,He is generous with his time.,Anh ấy rất hào phóng về thời gian của mình.,Personality,2,b1 adjectives
honest,trung thực,/ˈɒnɪst/,Adjective,An honest person tells the truth.,Một người trung thực luôn nói sự thật.,Personality,1,b1 adjectives
patient,kiên nhẫn,/ˈpeɪʃənt/,Adjective,Teachers should be patient with students.,Giáo viên nên kiên nhẫn với học sinh.,Personality,1,b1 adjectives
polite,lịch sự,/pəˈlaɪt/,Adjective,He is always polite to strangers.,Anh ấy luôn lịch sự với người lạ.,Social,1,b1 adjectives
reliable,đáng tin cậy,/rɪˈlaɪəbl/,Adjective,She is a reliable teammate.,Cô ấy là một đồng đội đáng tin cậy.,Personality,2,b1 adjectives
responsible,có trách nhiệm,/rɪˈspɒnsəbl/,Adjective,Responsible people finish their work.,Người có trách nhiệm hoàn thành công việc.,Personality,2,b1 adjectives
selfish,ích kỷ,/ˈselfɪʃ/,Adjective,It is selfish to think only about yourself.,Chỉ nghĩ cho bản thân là ích kỷ.,Personality,2,b1 adjectives
creative,sáng tạo,/kriˈeɪtɪv/,Adjective,Creative ideas solve problems.,Những ý tưởng sáng tạo giải quyết vấn đề.,Skills,1,b1 adjectives
independent,độc lập,/ˌɪndɪˈpendənt/,Adjective,She became independent at university.,Cô ấy trở nên độc lập khi vào đại học.,Personality,2,b1 adjectives
friendly,thân thiện,/ˈfrendli/,Adjective,The staff were very friendly.,Nhân viên rất thân thiện.,Social,1,b1 adjectives
anxious,lo lắng,/ˈæŋkʃəs/,Adjective,He felt anxious before the exam.,Anh ấy cảm thấy lo lắng trước kỳ thi.,Emotion,2,b1 adjectives
calm,bình tĩnh,/kɑːm/,Adjective,Stay calm during emergencies.,Hãy bình tĩnh trong các tình huống khẩn cấp.,Emotion,1,b1 adjectives
practical,thực tế,/ˈpræktɪkəl/,Adjective,She gave practical advice.,Cô ấy đưa ra lời khuyên thực tế.,General,2,b1 adjectives
flexible,linh hoạt,/ˈfleksəbl/,Adjective,Flexible workers adapt quickly.,Những người linh hoạt thích nghi nhanh.,Work,2,b1 adjectives
energetic,tràn đầy năng lượng,/ˌenəˈdʒetɪk/,Adjective,Children are usually energetic.,Trẻ em thường rất năng động.,General,1,b1 adjectives
sensitive,nhạy cảm,/ˈsensətɪv/,Adjective,He is sensitive to criticism.,Anh ấy nhạy cảm với những lời chỉ trích.,Emotion,2,b1 adjectives
optimistic,lạc quan,/ˌɒptɪˈmɪstɪk/,Adjective,She is optimistic about the future.,Cô ấy lạc quan về tương lai.,Personality,2,b1 adjectives
ambitious,tham vọng,/æmˈbɪʃəs/,Adjective,He is ambitious and works hard.,Anh ấy có tham vọng và làm việc chăm chỉ.,Career,2,b1 adjectives
